Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
The Mortal Instruments: City of Bones,2013,21 Aug 2013,"Action, Adventure, Fantasy",130 min,Harald Zwart,"Jessica Postigo, Cassandra Clare","Lily Collins, Jamie Campbell Bower, Robert Sheehan",PG-13,5.8,33,"141,430",6 wins & 11 nominations total,"$31,165,421","United States, Germany, Canada, United Kingdom",English,"Set in contemporary New York City, a seemingly ordinary teenager, Clary Fray, discovers she is the descendant of a line of Shadowhunters, a secret cadre of young half-angel warriors locked in an ancient battle to protect our world from demons. After the disappearance of her mother, Clary must join forces with a group of Shadow Hunters, who introduce her to a dangerous alternate New York called the Shadow World, filled with demons, warlocks, vampires, werewolves and other deadly creatures.",https://m.media-amazon.com/images/M/MV5BMTc5NzAyOTQyNF5BMl5BanBnXkFtZTcwNzQ1MDc4OQ@@._V1_SX300.jpg
The Wasp,2024,30 Sep 2024,Thriller,96 min,Guillem Morales,Morgan Lloyd Malcolm,"Naomie Harris, Natalie Dormer, Dominic Allburn",R,6.0,69,"3,315",N/A,"$36,878","United States, Finland, United Kingdom, Canada",English,"Follows Heather and Carla, who meet after having not spoken in years. Heather is about to present a very unexpected proposition that could change their lives forever.",https://m.media-amazon.com/images/M/MV5BNzE1YTljYTgtNzczZi00NTAyLThkYjUtYWExZDU4ZTY5YTdlXkEyXkFqcGc@._V1_SX300.jpg
Kingpin,1996,26 Jul 1996,"Comedy, Sport",114 min,"Bobby Farrelly, Peter Farrelly","Barry Fanaro, Mort Nathan","Woody Harrelson, Randy Quaid, Bill Murray",PG-13,6.9,43,"94,445",N/A,"$25,023,434",United States,English,"Roy Munson was raised to be the best bowler in the world (trained early on by his father). But a fellow bowler, Ernie McCracken and a misunderstanding with some rough punks, leaves poor Roy with the loss of his bowling hand! Not to let this get him down, he gets a prosthetic hand and becomes a travelling sales man. But it's really all down hill for him from that night on until ... One day he meets Ishmael who is Amish and sneaks away from the farm to bowl (his fellow Amish would disown him if they knew)! Roy convinces Ishmael to let him be his trainer and he'll make him the best bowler the world has ever seen. Reluctantly Ishmael agrees to go on the road and shortly afterwards actually finds that life outside the farm is quite fun. Soon their paths cross that of Ernie McCracken who is still a top ranking bowler. While Roy's career and life have landed in the toilet bowl, Ernie is still drawing huge crowds and all the babes! They both square off for the ultimate bowling championship ... to see which one truly IS the champion.",https://m.media-amazon.com/images/M/MV5BODAzODIyMDYwMV5BMl5BanBnXkFtZTcwMTUyNTEzNA@@._V1_SX300.jpg
Memory,2022,29 Apr 2022,"Action, Crime, Thriller",114 min,Martin Campbell,"Dario Scardapane, Jef Geeraerts, Carl Joos","Liam Neeson, Guy Pearce, Taj Atwal",R,5.7,41,"39,586",N/A,"$7,329,043",United States,"English, Spanish","Alex Lewis (Liam Neeson) is an expert assassin with a reputation for discreet precision. Caught in a moral quagmire, Alex refuses to complete a job that violates his code and must quickly hunt down and kill the people who hired him before they and FBI agent Vincent Serra (Guy Pearce) find him first. Alex is built for revenge but, with a memory that is beginning to falter, he is forced to question his every action, blurring the line between right and wrong.",https://m.media-amazon.com/images/M/MV5BNjk1ZjBkMTgtZmIwMi00OTM0LTk4ZGQtNDE0YmNkY2I3YTMyXkEyXkFqcGc@._V1_SX300.jpg
Moonstruck,1987,15 Jan 1988,"Comedy, Drama, Romance",102 min,Norman Jewison,John Patrick Shanley,"Cher, Nicolas Cage, Olympia Dukakis",PG,7.2,83,"74,608",Won 3 Oscars. 18 wins & 19 nominations total,"$80,640,528",United States,"English, Italian, Latin","No sooner does Italian-American widow Loretta accept a marriage proposal from her doltish boyfriend, Johnny, then she finds herself falling for his younger brother, Ronny. She tries to resist, but Ronny lost his hand in an accident he blames on his brother, and has no scruples about aggressively pursuing her while Johnny is out of the country. As Loretta falls deeper in love, she comes to learn that she's not the only one in her family with a secret romance.",https://m.media-amazon.com/images/M/MV5BZjdiMjI1MTQtMWIzNC00OTg2LWI5NjItYTBiMTYzMmIxYmNjXkEyXkFqcGc@._V1_SX300.jpg
Singin' in the Rain,1952,10 Apr 1952,"Comedy, Musical, Romance",103 min,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green","Gene Kelly, Donald O'Connor, Debbie Reynolds",G,8.3,99,"274,414",Nominated for 2 Oscars. 11 wins & 11 nominations total,"$1,884,537",United States,English,"1927 Hollywood. Monumental Pictures' biggest stars, glamorous on-screen couple Lina Lamont and Don Lockwood, are also an off-screen couple if the trade papers and gossip columns are to be believed. Both perpetuate the public perception if only to please their adoring fans and bring people into the movie theaters. In reality, Don barely tolerates her, while Lina, despite thinking Don beneath her, simplemindedly believes what she sees on screen in order to bolster her own stardom and sense of self-importance. R.F. Simpson, Monumental's head, dismisses what he thinks is a flash in the pan: talking pictures. It isn't until The Jazz Singer (1927) becomes a bona fide hit which results in all the movie theaters installing sound equipment that R.F. knows Monumental, most specifically in the form of Don and Lina, have to jump on the talking picture bandwagon, despite no one at the studio knowing anything about the technology. Musician Cosmo Brown, Don's best friend, gets hired as Monumental's ideas man and musical director. And by this time, Don has secretly started dating Kathy Selden, a chorus girl who is trying to make it big in pictures herself. Don and Kathy's relationship is despite their less than friendly initial meeting. Cosmo and Kathy help Don, who had worked his way up through the movie ranks to stardom, try make the leap to talking picture stardom, with Kathy following along the way. However, they have to overcome the technological issues. But the bigger problem is Lina, who will do anything to ensure she also makes the successful leap into talking pictures, despite her own inabilities and at anyone and everyone else's expense if they get in her way, especially Kathy as Don's off screen girlfriend and possibly his new talking picture leading lady.",https://m.media-amazon.com/images/M/MV5BMGQzZDFjZWUtZDU4ZS00ZjM3LTgyYmItYjA3YmIwYzRkZWY3XkEyXkFqcGc@._V1_SX300.jpg
Scary Movie V,2013,12 Apr 2013,"Comedy, Horror",86 min,"Malcolm D. Lee, David Zucker","David Zucker, Pat Proft, Shawn Wayans","Simon Rex, Ashley Tisdale, Charlie Sheen",PG-13,3.6,11,"80,186",5 nominations total,"$32,015,787",United States,"English, Spanish, Latin","Happily-married couple Dan and Jody begin to notice some bizarre activity once they bring their lost nieces and nephew home. But when the chaos expands into Jody's job as a ballet dancer and Dan's career as an Ape researcher, they realize their family is being stalked by a nefarious demon. Together, with the advice of a psychic and the aid of numerous surveillance cameras, they must figure out how to get rid of it before it's too late.",https://m.media-amazon.com/images/M/MV5BM2NlMjRlZTMtODY5Ni00OGYxLThlYmYtZWQ4MjY1NjVlZjBmXkEyXkFqcGc@._V1_SX300.jpg
Twin Peaks: Fire Walk with Me,1992,28 Aug 1992,"Drama, Horror, Mystery",134 min,David Lynch,"David Lynch, Robert Engels, Mark Frost","Sheryl Lee, Ray Wise, Mädchen Amick",R,7.3,45,"113,873",4 wins & 7 nominations total,"$4,160,851","France, United States","English, Latin","Essentially a prequel to David Lynch and Mark Frost's earlier TV series ""Twin Peaks"". The first half-hour or so concerns the investigation by FBI Agent Chet Desmond (Chris Isaak) and his partner Sam Stanley (Kiefer Sutherland) into the murder of night-shift waitress Teresa Banks in the small Washington state town of Deer Meadow. When Desmond finds a mysterious clue to the murder, he inexplicably disappears. The film then cuts to one year later in the nearby town of Twin Peaks and follows the events during the last week in the life of Laura Palmer (Sheryl Lee) a troubled teenage girl with two boyfriends; the hot-tempered rebel Bobby Briggs (Dana Ashbrook) and quiet biker James Hurley (James Marshall), her drug addiction, and her relationship with her difficult (and possible schizophrenic) father Leland (Ray Wise), a story in which her violent murder was later to motivate much of the TV series. Contains a considerable amount of sex, drugs, violence, very loud music and inexplicable imagery.",https://m.media-amazon.com/images/M/MV5BYzJmZGFiMzAtODNhOC00NzAwLWFlMzAtYTQzYmRmYjIwNDgyXkEyXkFqcGc@._V1_SX300.jpg
Freaky Friday,2003,06 Aug 2003,"Comedy, Family, Fantasy",97 min,Mark Waters,"Mary Rodgers, Heather Hach, Leslie Dixon","Jamie Lee Curtis, Lindsay Lohan, Mark Harmon",PG,6.3,70,"160,629",5 wins & 11 nominations total,"$110,230,332",United States,"English, Mandarin","The wide generation gap between Tess Coleman and her teenage daughter Anna is more than evident. They simply cannot understand each other's preferences. On a Thursday night they have a big argument in a Chinese restaurant. Both receive a fortune cookie each from the restaurant owner's mother which causes them to switch bodies next day. As they adjust with their new personalities, they begin to understand each other more and eventually it's the mutual self-respect that sorts the things out.",https://m.media-amazon.com/images/M/MV5BOGNhNDAyZWUtNmU3My00ZWRlLTkwYTgtMzZiYmNjNmM0MzVkXkEyXkFqcGc@._V1_SX300.jpg
Ocean's Thirteen,2007,08 Jun 2007,"Crime, Thriller",122 min,Steven Soderbergh,"Brian Koppelman, David Levien, George Clayton Johnson","George Clooney, Brad Pitt, Matt Damon",PG-13,6.9,62,"378,366",1 win & 5 nominations total,"$117,154,724",United States,"English, Mandarin, Spanish, French","The last time we saw Danny Ocean's crew, they were paying back ruthless casino mogul Terry Benedict after stealing millions from him. However, it's been a while since they've come back together, which is all about to change. When one of their own, Reuben Tishkoff, builds a hotel with another casino owner, Willy Bank, the last thing he ever wanted was to get cut out of the deal personally by the loathsome Bank. Bank's attitude even goes so far as to finding the amusement in Tishkoff's misfortune when the double crossing lands Reuben in the hospital because of a heart attack. However, Danny and his crew won't stand for Bank and what he's done to a friend. Uniting with their old enemy Benedict, who himself has a vendetta against Bank, the crew is out to pull off a major plan; one that will unfold on the night Bank's newest hot spot opens up. They're not in this for the money, but for the revenge.",https://m.media-amazon.com/images/M/MV5BMTMyNTc1NzY5MV5BMl5BanBnXkFtZTcwNDM4NTQzMw@@._V1_SX300.jpg
Network,1976,27 Nov 1976,Drama,121 min,Sidney Lumet,Paddy Chayefsky,"Faye Dunaway, William Holden, Peter Finch",R,8.1,83,"176,692",Won 4 Oscars. 20 wins & 27 nominations total,"$23,689,877",United States,English,"In the 1970s, terrorist violence is the stuff of networks' nightly news programming and the corporate structure of the UBS Television Network is changing. Meanwhile, Howard Beale, the aging UBS news anchor, has lost his once strong ratings share and so the network fires him. Beale reacts in an unexpected way. We then see how this affects the fortunes of Beale, his coworkers (Max Schumacher and Diana Christensen), and the network.",https://m.media-amazon.com/images/M/MV5BY2E4ZGJiNTMtZTAxZC00MmVlLWI1NjYtMGVhMjhkOGEwZDhjXkEyXkFqcGc@._V1_SX300.jpg
The Hunger Games: Mockingjay - Part 1,2014,21 Nov 2014,"Action, Adventure, Sci-Fi",123 min,Francis Lawrence,"Peter Craig, Danny Strong, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",PG-13,6.6,64,"528,700",21 wins & 32 nominations total,"$337,135,885","United States, Canada, France",English,"With the Games destroyed, Katniss Everdeen, along with Gale, Finnick and Beetee, end up in the so thought ""destroyed"" District 13. Under the leadership of President Coin and the advice of her friends, Katniss becomes the ""Mockingjay"", the symbol of rebellion for the districts of Panem.",https://m.media-amazon.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_SX300.jpg
Contagion,2011,09 Sep 2011,"Drama, Thriller",106 min,Steven Soderbergh,Scott Z. Burns,"Matt Damon, Kate Winslet, Jude Law",PG-13,6.8,70,"324,795",2 wins & 14 nominations total,"$75,658,097","United Arab Emirates, United States","English, Mandarin, Cantonese","Soon after her return from a business trip to Hong Kong, Beth Emhoff dies from what is a flu or some other type of infection. Her young son dies later the same day. Her husband Mitch however seems immune. Thus begins the spread of a deadly infection. For doctors and administrators at the U.S. Centers for Disease Control, several days pass before anyone realizes the extent or gravity of this new infection. They must first identify the type of virus in question and then find a means of combating it, a process that will likely take several months. As the contagion spreads to millions of people worldwide, societal order begins to break down as people panic.",https://m.media-amazon.com/images/M/MV5BMTY3MDk5MDc3OV5BMl5BanBnXkFtZTcwNzAyNTg0Ng@@._V1_SX300.jpg
Super Troopers,2001,15 Feb 2002,"Comedy, Crime, Mystery",100 min,Jay Chandrasekhar,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme","Jay Chandrasekhar, Kevin Heffernan, André Vippolis",R,7.0,48,"115,111",1 win total,"$18,492,362",United States,"English, German, French","Thorny, Mac, Rabbit, Foster and Farva are Vermont state troopers out to have a good time. Stationed in a remote area near the Canadian border, the troopers, avid pranksters with an affinity for syrup, have a knack for screwing up on the job. But when budget cuts in the town of Spurbury threaten their livelihood and pit them against arch-rival Spurbury P.D., the five friends try to straighten up and fly right. That is, until a dead body is discovered and a possible drug ring is unearthed. The super troopers spring into action attempting to solve the crime, save their jobs, and outdo the local police department.",https://m.media-amazon.com/images/M/MV5BM2ViMTkwNzItMzRiYy00MmFmLThkNzQtZTMwYWNiYzk0MzIwXkEyXkFqcGc@._V1_SX300.jpg
